ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.2356,-0.4832,-1.07,-0.663,0.6094,-0.25,-0.92,0.0,0.0,1.383,1.278,1.268,0.0,-0.5757,-0.05704,-0.2773,-0.09045,-0.3901,1.35,-0.3607,-0.334,-0.3848,-0.1738,-0.8154,-0.2139,-0.2238,0.0,0.0,-0.2101,0.0,-0.399,-0.302,0.2074,-0.00789,-3.0,-1.0,-0.3333,0.4375,-0.446,-0.6084,-0.5,5.0,0.0,0.0,0.0,-0.01578,-0.1290371999999999,,,
-0.02208,-0.503,-1.07,-0.663,0.174,-0.25,-0.92,0.0,0.0,1.383,1.278,1.272,0.0,-0.575,-0.2382,-0.5005,-0.1403,-0.4565,1.367,0.01057,-0.3162,-0.3606,-0.3843,-0.1737,-0.2222,-0.2233,0.0,0.0,-0.2118,0.0,-0.3958,0.244,-0.2988,-0.004333,-2.0,-1.0,0.0,0.358,-0.4272,-0.552,0.0,0.0,0.0,0.0,0.0,-0.01189,-0.0387319999999999,,,
-0.0596,-0.545,-1.07,-0.663,0.2372,-0.25,-0.92,0.0,0.0,1.383,1.278,1.268,0.0,-0.574,-0.2372,-0.5776,-0.1931,-0.536,1.379,-0.096,-0.3208,0.01047,-0.3604,-0.384,-0.2333,-0.2203,0.0,0.0,-0.2152,0.0,-0.3997,0.0551,-0.1242,-0.00681,-2.0,-1.5,-0.3333,0.313,-0.4644,-0.5347,-0.5,1.0,0.0,0.0,0.0,-0.01462,-0.1849559999999999,,,
-0.0478,-0.8164,-1.07,-0.663,0.853,-0.25,-0.92,0.0,0.0,1.383,1.278,1.209,0.0,-0.5737,-0.2695,-0.644,-0.2576,-0.8677,1.384,-0.7362,-0.2751,-0.0961,0.01046,-0.36,-0.2451,-0.2197,0.0,0.0,-0.2183,0.0,-0.4429,-0.413,0.3013,-0.01377,-2.0,-1.5,-0.6665,0.5684,-0.6816,-0.781,-0.5,2.0,0.0,1.0,-1.556,-0.0223,-0.1798599999999999,,,
-0.07355,-0.8467,-1.07,-0.663,0.1621,-0.25,-0.92,0.0,0.0,1.383,1.278,1.195,0.0,-0.573,-0.2208,-0.64,-0.3318,-0.934,1.383,-0.2051,-0.2302,-0.736,-0.09607,0.01045,-0.2537,-0.2183,0.0,0.0,-0.2218,0.0,-0.453,-0.497,0.377,-0.00697,-2.0,-1.5,-1.0,0.552,-0.7285,-0.774,-0.5,3.0,0.0,0.0,0.0,-0.01483,-0.1660159999999999,,,
-0.06616,-0.924,-1.07,-0.663,0.2357,-0.375,-0.92,0.0,0.0,1.383,1.278,1.166,0.0,-0.5723,-0.02928,-0.651,-0.4202,-1.001,1.365,-0.3957,-0.1967,-0.2052,-0.7354,-0.09595,-0.2634,-0.2173,0.0,0.0,-0.2272,0.0,-0.4739,-0.8936,0.7407,-0.01377,-2.0,-2.0,-1.333,0.591,-0.8643,-0.8306,-0.5,4.0,0.0,0.0,0.0,-0.02248,-1.20154,,,
0.0515,-1.544,-1.07,-0.663,1.025,-0.5,-0.92,0.0,0.0,1.383,1.278,1.015,0.0,-0.572,-0.3213,-0.6284,-0.516,-1.657,1.337,-1.8749,-0.00851,-0.3958,-0.205,-0.735,-0.2805,-0.2196,0.0,0.0,-0.2343,0.0,-0.584,-1.555,1.499,-0.0405,-3.0,-2.0,-1.333,1.307,-1.476,-1.245,-0.5,5.0,0.0,1.0,-4.203,-0.0528,-0.8901240000000001,,,
0.3062,-2.098,-1.07,-0.663,0.575,-0.625,-0.92,0.0,0.0,1.383,1.278,0.8706,0.0,-0.5713,0.5093,-0.4893,-0.619,-2.223,1.296,-1.8619,0.2837,-1.875,-0.3955,-0.2048,-0.3047,-0.2258,0.0,0.0,-0.2402,0.0,-0.687,-1.555,1.499,-0.04883,-3.0,-2.0,-1.333,1.961,-2.059,-1.35,-0.5,5.0,0.0,1.0,-3.854,-0.0642,0.7231400000000002,,,
0.4556,-1.653,-1.07,-0.663,-0.1586,-0.75,-0.92,0.0,0.0,1.383,1.278,0.9224,0.0,-0.5703,2.799,-0.2432,-0.528,-1.684,1.241,0.6371,0.4724,-1.862,-1.873,-0.395,-0.3262,-0.2324,0.0,0.0,-0.2466,0.0,-0.644,-1.497,1.262,0.02586,-2.0,-1.5,-1.333,1.531,-1.582,-1.088,0.0,0.0,0.0,0.0,0.0,0.02509,-0.8127575999999997,,,
0.4536,-1.67,-1.07,-0.663,0.1228,-0.875,-0.92,0.0,0.0,1.383,1.278,0.882,0.0,-0.57,0.00679,0.1133,-0.3064,-1.529,1.166,-0.5673,0.666,0.6367,-1.861,-1.872,-0.3499,-0.2389,0.0,0.0,-0.2554,0.0,-0.6704,-1.555,1.48,-0.01958,-2.0,-1.5,-1.333,1.601,-1.658,-1.035,-0.5,1.0,0.0,0.0,0.0,-0.03021,-0.231188,,,
