
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:06:10,817 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 88.64285714285714, End mean: 4.103571431977408
2024-04-15 00:06:19,452 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 94.2000004161488, End mean: 1.7278636477210305
2024-04-15 00:06:25,860 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.872224794493781, End mean: 0.001017500016637775
2024-04-15 00:06:26,326 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1648.313725490196, End mean: 2.0620588344686173
2024-04-15 00:06:26,364 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 6087804.721153846, End mean: 2.903589746890924
2024-04-15 00:06:33,094 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 197.5199991861979, End mean: 4.545199998219808
2024-04-15 00:06:40,672 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 7.134888540102741, End mean: 0.023662362273371786
2024-04-15 00:06:47,867 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 34.5, End mean: 0.8918579011632685
2024-04-15 00:06:49,563 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.336000061035156, End mean: 0.3452000007033348
2024-04-15 00:06:55,409 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 183.09333333333333, End mean: 0.16704799866303796
2024-04-15 00:07:01,299 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 15.587878834117543, End mean: 0.18000000715255732
2024-04-15 00:07:08,254 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 496693051.3548387, End mean: 0.003177096781831546
2024-04-15 00:07:09,885 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1454.5833333333333, End mean: 4.144833339585198
2024-04-15 00:07:11,845 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3.0573033911458563, End mean: 0.021011235485418403
2024-04-15 00:07:22,559 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 314.3999972873264, End mean: 0.8971111112170749
2024-04-15 00:07:32,377 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 5873.892862215909, End mean: 0.00035154545846369185
2024-04-15 00:07:33,144 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.3608333333617165, End mean: 0.01634761886227693
2024-04-15 00:07:34,960 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 23.80500014623006, End mean: 0.6405833313862482
2024-04-15 00:07:36,219 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.863077016977163, End mean: 0.4885384669670692
2024-04-15 00:07:38,100 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 15.76310680907907, End mean: 0.23349514343206165
2024-04-15 00:07:48,974 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 877.4305555555555, End mean: 1.2068333393997617
2024-04-15 00:07:49,493 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1.5307142734527588, End mean: 0.05098214412906336
2024-04-15 00:07:57,465 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 471.65865384615387, End mean: 1.5006153849455026
2024-04-15 00:08:05,865 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.5647058823529414, End mean: 0.018804705909946345
2024-04-15 00:08:06,756 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 24.505040322580644, End mean: 0.46459677743334926
2024-04-15 00:08:12,711 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.4671875089406967, End mean: 0.09606250049546357
2024-04-15 00:08:12,727 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.8246666649977367, End mean: 9.999999747378752e-05
2024-04-15 00:08:14,220 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.24121621774660565, End mean: 9.999999747378752e-05
2024-04-15 00:08:16,103 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 4.099999904632568, End mean: 0.0697417640510727
2024-04-15 00:08:16,318 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 452.6776859504132, End mean: 3.11561983478956
2024-04-15 00:08:16,342 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 16.817291498184204, End mean: 0.10254166678835945
2024-04-15 00:08:21,425 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 52.895161290322584, End mean: 0.08116129064752205
2024-04-15 00:08:23,216 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 240.23025137583414, End mean: 2.7035000056028364
2024-04-15 00:08:30,365 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 655.2789651193926, End mean: 13.662741937944967
2024-04-15 00:08:34,050 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 4208024.081632653, End mean: 0.6854421755894512
2024-04-15 00:08:34,565 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3989.3730165939924, End mean: 48.57844948583795
2024-04-15 00:08:35,114 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.6153839826583862, End mean: 0.008417391218244981
2024-04-15 00:08:40,752 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 19861.13556338028, End mean: 8.493309887362198
2024-04-15 00:08:44,583 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 4746.770426432292, End mean: 5.1380137345370125
2024-04-15 00:08:48,070 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 95.99366607666016, End mean: 2.6384999990463256
2024-04-15 00:08:48,808 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 73.15000025431316, End mean: 0.3780666649341583
2024-04-15 00:08:58,501 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2801.6666666666665, End mean: 0.024812499953744276
2024-04-15 00:09:06,090 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 176.29409142696497, End mean: 1.0247878775452122
