Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
2000-10-05,5.01113586,-4.50436764,-2.88322194,0.98107143,-6.3038929,7.0,144.0,False,False,1.07979955,0.97957684,-33.1347729,False,145.0,2.00445434,1.66831398,2.31009483,-3.6067121,-30.63290135,-0.05473684,2.59660987,-0.00210084,-0.04321608,0.01117886,60.48214286,60.69583333,0,1,59.221875,0,14.40073679,47.17444717,8.95055283,-1874925.0,1.0,5.0,6.0,11.09577036,-1.5103669,0.20183478,0.0,3.0,False,True,-7.23140496,-31577.68421053
2000-10-06,5.78231293,-10.35218783,-9.16905909,0.7628125,1.29825553,7.0,143.0,False,False,1.15876956,1.0431233,-37.4534624,False,146.0,6.75144770482264,1.41119815,2.30548253,-9.15628737,-31.14929389,-0.06458797,2.8164008,-0.05473684,-0.00210084,-0.04321608,59.21428571,60.42916667,0,1,58.68125,0,10.75517006,44.54756381,7.95243619,-3518062.5,1.0,4.0,6.0,17.97557318,-6.71183691,-0.04868345,0.0,4.0,False,False,0.0,-62682.62806236
2000-10-09,6.09347443,-12.90322581,-12.41444189,0.324375,0.24642501,7.0,142.0,False,False,1.20267549,1.080806,-39.68726731,False,147.0,2.83950617,1.15590182,2.31979367,-10.86360781,-32.33657858,-0.03571429,3.26198921,-0.06458797,-0.05473684,-0.00210084,57.40178571,60.02291667,0,1,58.140625,0,8.85493542,38.86363636,11.76136364,-2848687.5,0.0,4.0,5.0,19.906244965589778,-8.83585186,-0.07600014,0.0,5.0,False,False,0.0,-54260.71428571
2000-10-10,6.12885858,-13.74613003,-13.92826635,-0.12205357,0.06532508,7.0,141.0,False,False,1.22311019,1.10053302,-40.72970961,False,148.0,4.14572864,0.87662663,2.31679253,-11.39723919,-33.10559417,-0.01728395,3.71048811,-0.03571429,-0.06458797,-0.05473684,55.72321429,59.60625,0,1,57.60625,0,7.96277711,38.68778281,11.06221719,-971250.0,0.0,3.0,5.0,19.906244965589778,-9.32381174,-0.02932726,0.0,5.504658199276764,False,False,0.0,-19185.18518519
2000-10-11,6.64342254,-14.076100355566558,-18.0194893,-0.60508929,0.24776955,7.0,140.0,False,False,1.28623634,1.15336789,-43.55919583,False,149.0,5.67282322,0.89721791,2.26544661,-12.85616139563252,-33.5677667,-0.04773869,4.31858719,-0.01728395,-0.03571429,-0.06458797,53.60714286,59.15,0,1,56.990625,0,5.58033922,37.74834437,9.62665563,-1692187.5,0.0,2.0,5.0,19.906244965589778,-12.02210644585807,-0.05664182,0.0,5.504658199276764,False,True,-7.89793439,-34013.81909548
2000-10-12,6.32518797,-14.076100355566558,-17.77961692,-1.40995536,-0.08332731,7.0,139.0,False,False,1.2794953,1.15299154,-43.4102755,False,150.0,5.65789474,1.12241818,2.20355115,-12.85616139563252,-34.59918699,0.00263852,4.77256155,-0.04773869,-0.01728395,-0.03571429,51.89285714,58.7,0,1,56.40625,0,5.69452022,25.78947368,21.71052632,116300.0,1.0,2.0,5.0,19.906244965589778,-11.48015235,0.03346594,1.0,0.0,False,False,0.0,2454.88126649
2000-10-13,6.09119973,-5.26064084,-8.15763568,-1.76669643,-0.66541264,7.0,138.0,False,False,1.14973414,1.02791015,-36.78332092,False,151.0,6.75144770482264,1.33952369,2.13197053,-2.70474506,-35.02593819,0.07473283058064771,4.82101093,0.00263852,-0.04773869,-0.01728395,50.99107143,58.32916667,0,1,56.18125,0,11.2437221,41.2803532,11.7821468,3904318.75,2.0,3.0,6.0,10.02452443,1.44598386,0.33827303,2.0,0.0,True,False,12.5994695,82196.18421053
2000-10-16,6.09193438,-5.78765194,-9.56540552,-2.31674107,0.10018002,6.0,137.0,False,False,1.16669087,1.04485219,-37.75130305,False,152.0,2.75119617,1.53877646,2.07446207,-3.48266131,-35.50516644,-0.01531213,4.89894906,0.07473853955966776,0.00263852,-0.04773869,50.4375,57.81041667,0,1,56.021875,0,10.42469689,35.86206897,16.38793103,-278687.5,2.0,2.0,5.0,11.03446048,0.3383772,0.30751611,0.0,1.0,False,False,0.0,-5252.06124853
2000-10-17,6.28396144,-6.90274151,-11.83422671,-3.06040179,0.19266701,5.0,136.0,False,False,1.19706661,1.07138738,-39.31496649,False,153.0,4.78527607,1.72440539,2.00552042,-5.1585271,-36.01424393,-0.02511962,5.02428723,-0.01531213,0.07473987101552655,0.00263852,50.21428571,57.24791667,0,1,55.73125,0,9.10306411,30.71593533,20.22156467,-681581.25,2.0,2.0,4.0,12.98603481,-1.6033071,0.26147114,0.0,2.0,False,False,0.0,-13044.61722488
2000-10-18,6.3530637,-4.50853638,-11.00489852,-3.93205357,-0.34684844,4.0,135.0,False,False,1.18718799,1.06012671,-38.71928518,False,154.0,6.75144770482264,1.90538093,1.94507809,-3.24194274,-36.66603428,0.00981595,5.11421663,-0.02511962,-0.01531213,0.07474503577274082,50.33035714,56.83333333,0,1,55.503125,0,9.58524045,26.82926829,24.60823171,549900.0,3.0,3.0,4.0,10.99792921,-0.31468778,0.30125866,1.0,0.0,False,False,0.0,10795.58282209
