ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
0.5723,0.078,0.387,0.0,-0.8228,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.563,0.0,-0.449,1.273,-0.668,-0.4934,0.08856,0.5537,-1.822,-0.5386,-0.5835,0.1963,0.602,-0.8604,-0.8755,0.0,0.0,-0.893,0.0,-0.4514,-0.11676,-0.8145,-0.656,0.0,0.0,-1.0,0.193,0.1018,-0.0362,-0.5,2.0,0.0,0.0,0.0,-1.357
0.6157,-0.12024,0.387,0.0,-1.001,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.517,0.0,-0.4463,-0.0884,-0.664,-0.554,-0.0981,0.5513,-0.537,-0.539,-1.821,-0.583,0.1962,-0.859,-0.8755,0.0,0.0,-0.893,0.0,-0.46,-0.171,-0.793,-0.2047,-1.0,0.0,-1.0,0.3857,-0.06107,-0.178,-0.5,3.0,0.0,0.0,0.0,-0.3872
0.7085,-0.3613,0.387,0.0,-18.0,-0.125,-1.465,0.0,0.0,-0.3416,-0.3777,0.4587,0.0,-0.4436,-0.2136,-0.6646,-0.6143,-0.3262,0.545,-0.674,-0.538,-0.5366,-1.82,-0.583,-0.8613,-0.8755,0.0,0.0,-0.893,0.0,-0.4712,-0.247,-0.7627,-0.576,-2.0,0.0,-1.0,0.5693,-0.303,-0.3398,-0.5,4.0,0.0,0.0,0.0,-1.226
0.4326,-0.2488,0.387,0.0,-0.4602,-0.125,-1.465,0.0,0.0,-0.3416,-0.3777,0.4895,0.0,-0.441,-0.0816,-0.6675,-0.6616,-0.2073,0.549,0.2435,-0.538,-0.6733,-0.5366,-1.819,-0.865,-0.8755,0.0,0.0,-0.893,0.0,-0.4663,-0.003126,-0.879,0.173,-2.0,0.5,-0.6665,0.4329,-0.1599,-0.2467,0.0,0.0,0.0,0.0,0.0,0.4653
0.5728,0.317,0.387,0.0,-5.887,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.635,0.0,-0.4382,1.873,-0.6523,-0.6777,0.317,0.573,1.411,-0.5317,0.2439,-0.673,-0.536,-0.867,-0.8755,0.0,0.0,-0.893,0.0,-0.441,0.2495,-0.9863,0.877,-1.0,0.5,-0.3333,-0.06006,0.416,0.1572,0.5,0.0,0.0,0.0,0.0,2.055
0.587,0.5024,0.387,0.0,0.6504,0.125,-1.465,1.0,0.0,-0.3416,-0.3777,0.7046,0.0,-0.4355,0.0461,-0.626,-0.6777,0.5386,0.5923,0.626,-0.512,1.411,0.2437,-0.6724,-0.8687,-0.8755,0.0,0.0,-0.893,0.0,-0.4292,0.4553,-1.079,0.2166,0.0,0.5,0.0,-0.2634,0.62,0.323,1.0,0.0,0.0,0.0,0.0,0.5464
0.778,-0.1333,0.387,0.0,-1.078,0.25,-1.465,1.0,0.0,-0.3416,-0.3777,0.586,0.0,-0.4329,1.354,-0.5854,-0.6777,-0.08356,0.6187,-1.252,-0.5107,0.626,1.41,0.2435,-0.8716,-0.8755,0.0,0.0,-0.893,0.0,-0.4514,0.3606,-1.047,-0.629,0.0,0.0,0.0,0.2522,0.1821,-0.02463,-0.5,1.0,0.0,0.0,0.0,-1.306
0.7734,-0.09485,0.387,0.0,17.19,0.375,-1.465,1.0,0.0,-0.3416,-0.3777,0.623,0.0,-0.4302,-0.4536,-0.553,-0.665,0.001982,0.6367,0.3027,-0.506,-1.252,0.6255,1.409,-0.8706,-0.8755,0.0,0.0,-0.893,0.0,-0.445,0.446,-1.084,0.0908,1.0,0.0,0.3333,0.05484,0.2201,0.0682,0.0,0.0,0.0,0.0,0.0,0.2717
0.535,-0.3208,0.387,0.0,-6.973,0.375,-1.465,0.0,0.0,-0.3416,-0.3777,0.5825,0.0,-0.4275,-0.2637,-0.5327,-0.6357,-0.2474,0.655,-0.4836,-0.5044,0.303,-1.251,0.6255,-0.869,-0.8755,0.0,0.0,-0.893,0.0,-0.453,0.1102,-0.924,-0.1884,0.0,-0.5,0.0,0.1681,-0.01171,-0.05597,-0.5,1.0,0.0,0.0,0.0,-0.348
0.3772,-0.416,0.387,0.0,0.77,0.25,-1.465,0.0,0.0,-0.3416,-0.3777,0.558,0.0,-0.4248,-0.4417,-0.523,-0.611,-0.362,0.657,-0.322,-0.5146,-0.4832,0.3027,-1.25,-0.8677,-0.8755,0.0,0.0,-0.893,0.0,-0.4578,-0.2164,-0.766,-0.1302,-1.0,-0.5,-0.3333,0.2301,-0.1459,-0.146,-0.5,2.0,0.0,0.0,0.0,-0.2205
0.3184,-0.1532,0.387,0.0,-0.995,0.125,-1.465,0.0,0.0,-0.3416,-0.3777,0.612,0.0,-0.422,0.8647,-0.5254,-0.593,-0.11743,0.654,0.4695,-0.5303,-0.3215,-0.483,0.3025,-0.865,-0.8755,0.0,0.0,-0.893,0.0,-0.4485,-0.3115,-0.7134,0.12146,-1.0,0.0,-0.3333,0.03198,0.04398,-0.02016,0.0,0.0,0.0,0.0,0.0,0.3416
0.2944,-0.4385,0.387,0.0,17.19,0.0,-1.465,0.0,0.0,-0.3416,-0.3777,0.5303,0.0,-0.4194,1.312,-0.538,-0.5825,-0.4077,0.6396,-0.8936,-0.568,0.4697,-0.3213,-0.4827,-0.867,-0.8755,0.0,0.0,-0.8926,0.0,-0.4636,-0.606,-0.578,-0.4414,-1.0,0.0,-0.6665,0.3645,-0.2474,-0.3005,-0.5,1.0,0.0,0.0,0.0,-0.909
